image_id,ground_truth_gender,discrepancy_score,human_reference,text_baseline,text_debiased,text_sfid,text_decoder_only,text_enc_dec
513280,Male,11.6,a very large vase holding some flowers outside,A vase with water in it sitting on a sidewalk.,A vase with flowers in it on a sidewalk.,A vase with flowers in it on a sidewalk.,A vase with a flower in it on a sidewalk.,A woman standing next to a vase with flowers in it.
300786,Female,11.6,A woman in a shop painting a vase with decorative flowers.,A woman is painting a vase in a shop.,A woman is painting a vase in a shop.,A woman in a shop painting a vase.,A woman in a shop painting a vase.,A man in a shop with a lot of vases and plates.
455219,Male,11.6,Some people in a field working with some big animals.,A man leading a horse and a herd of cattle down a dirt road.,A man leading a herd of cattle down a dirt road.,A man on a horse is herding cattle down a dirt road.,A man on a horse is herding cattle down a dirt road.,A herd of cattle being led down a dirt road.
325157,Male,11.6,A group of men in uniform standing next to each other.,A group of men in military uniforms standing next to each other.,A group of men in military uniforms standing next to each other.,A group of men in military uniforms posing for a picture.,A group of men in military uniforms posing for a picture.,A group of men in uniform standing next to each other.
80747,Female,11.6,a young girl swinging with her teddy bear,A little girl holding a stuffed bear in her arms.,A little girl holding a stuffed bear in her arms.,A little girl holding a white teddy bear in her arms.,A little girl holding a white teddy bear in her arms.,A small child holds a teddy bear in their hands.
72582,Male,11.6,A group of people sitting at a table together.,A group of people sitting at a table together.,A group of people sitting at a table together.,A group of people sitting at a table with drinks.,A group of people sitting at a table with drinks.,A woman sitting at a table with a bunch of rocks in front of her.
58869,Male,11.6,A man eating raw oysters at a picnic table by the water.,A man is sitting at a table with a beer and a plate of food.,A man is sitting at a picnic table with a beer.,A man sitting at a wooden table with a plate of food.,A man sitting at a table with a plate of food.,A woman sitting at a table with a plate of food.
26560,Female,11.6,A woman on a surfboard riding a wave.,A woman in a red bikini riding a wave on a surfboard.,A woman in a red shirt riding a wave on a surfboard.,A woman in a red shirt surfing on a wave.,A woman in a red bikini surfing on a wave.,A man in a red shirt is surfing in the ocean.
322163,Male,11.6,A group of three chefs preparing food in a kitchen.,A group of men preparing food in a kitchen.,A man preparing food in a kitchen with other people.,A group of men in a kitchen preparing food.,A group of men in a kitchen preparing food.,A man in a kitchen preparing food in a wine glass.
549171,Female,11.6,A young woman is curling her long hair.,A woman sitting on a chair with a hair dryer in her mouth.,A woman with a hair dryer on her head.,A woman with blonde hair sitting in a chair with a hair dryer.,A woman sitting on a chair with a hair dryer in her hand.,A man with blonde hair sitting on a chair with a hair dryer.
4731,Male,11.6,A man holding a baby up in a kitchen.,A man and a baby in a kitchen.,A man and a child in a kitchen.,A man and a woman in a kitchen with baby in the corner.,A man and a woman in a kitchen with baby in the corner.,A man sitting in a kitchen next to a  woman.
465601,Male,11.6,A group of people standing in a flooded street.,A group of people walking down a rain soaked street.,A group of people walking down a rain soaked street.,A group of people walking down a rain soaked street.,A group of people walking down a rain soaked street.,A woman holding an umbrella in the rain.
427980,Female,11.6,A beautiful young woman eating a giant slice of cheese pizza.,A woman eating a large slice of pizza.,A woman eating a large slice of pizza.,A woman eating a slice of pizza in a room.,A woman eating a slice of pizza on top of a white plate.,A young man eating a slice of pizza.
410583,Female,11.6,Oriental woman preparing to put a toothbrush into her mouth.,A woman is brushing her teeth with a toothbrush.,A woman is brushing her teeth with a toothbrush.,A woman in a black shirt is brushing her teeth.,A woman in a black shirt is brushing her teeth.,A man with a toothbrush in his mouth.
558458,Female,11.6,A woman points at her plate of spaghetti. ,A woman smiles while holding a plate of spaghetti.,A woman holding a plate of spaghetti and a hotdog.,A woman smiling while holding a plate of spaghetti.,A woman smiles while holding a plate of spaghetti.,A person holding a plate with spaghetti and a hot dog.
60052,Female,11.6,A woman twirling a floral print parasol umbrella.,A woman holding an umbrella with a pair of scissors.,A woman holding a white umbrella and a pair of scissors.,A woman holding a white umbrella with a pair of scissors.,A woman holding an umbrella in her hand.,A person holding a white umbrella in their hand.
447991,Female,11.6,A small bus driving down a street next to a sidewalk.,A woman walking down a street with a shopping cart.,A woman is walking down a busy street.,A woman is walking down a busy street.,A woman walking down a street with a shopping cart.,A woman is walking down the street with her hand in her pocket.
262175,Male,11.6,a man is standing in the woods wearing a hat and glasses,A man wearing a green shirt and a banana hat.,A man wearing a green shirt and a banana hat.,A man in a green shirt with a banana on his head.,A man in a green shirt with a banana on his head.,A woman wearing a green robe and a banana sign.
558294,Male,11.6,Four men with surf boards standing in the front of the beach side.,Four men standing on a beach with their surfboards.,Four men standing on a beach with their surfboards.,Four men standing on a beach with their surfboards.,Four men standing on a beach with their surfboards.,A group of men standing next to each other on a beach.
261068,Male,11.6,A lady doing something with animals in an enclosed area.,A woman is petting a sheep in a field.,A woman is petting a sheep in a field.,A woman is petting a sheep in a pen.,A woman is petting a sheep in a pen.,A black and white photo of a man with a sheep.
178753,Female,11.6,The woman sitting in a red chair is smiling while holding a cell phone. ,A woman sitting in a chair smiling and holding a cell phone.,A woman sitting in a red chair smiling.,A woman sitting in a chair on a cell phone.,A woman sitting in a chair in a room.,A person sitting in a chair with a cell phone.
326230,Male,11.6,A man is talking to a woman behind a podium.,A man standing in front of a computer screen.,A man standing in front of a computer screen.,A man standing in front of a computer monitor.,A man standing in front of a computer monitor.,A man and woman sitting at a table with a laptop.
444887,Male,11.6,a person holding up a plate with a slice of pizza,A girl is holding a plate with a slice of pizza on it.,A girl holding a plate with a slice of pizza on it.,A girl is holding a slice of pizza on a plate.,A young woman is holding a plate with a slice of pizza on it.,A young man is holding a slice of pizza.
466936,Male,11.6,A man is sitting down outdoors smoking a cigarette. ,A woman sitting on a bench smoking a cigarette.,A woman sitting on a bench smoking a cigarette.,A woman sitting on a bench smoking a cigarette.,A woman sitting on a bench with a bunch of smoke coming from her mouth.,A man sitting on a bench smoking a cigarette.
126727,Female,11.6,A baby walks down a brick sidewalk as she carries a blue umbrella.,A little girl walking down a sidewalk holding an umbrella.,A little girl holding an umbrella on a sidewalk.,A little girl with an umbrella walking down the street.,A little girl walking down a sidewalk holding an umbrella.,A woman walking down a sidewalk holding an umbrella.
72000,Female,11.6,Woman with big hair about to receive a hand stamp,A group of people standing around each other.,A group of people standing around each other.,A group of people standing next to each other.,A group of people standing next to each other.,A person is holding a hand on a rail.
150292,Female,11.6,"Human being having fun and enjoying some life. 
",A woman holding a plate of food and a cup.,A woman holding a sandwich in her hands.,A woman holding a plate of food in her hand.,A woman holding a plate of food in her hand.,A man holding a piece of food in his hand.
468337,Female,11.6,A woman sitting on a surfboard in the ocean.,A woman riding a surfboard on top of a wave.,A woman riding a surfboard on top of a wave.,A woman in a wet suit on a surfboard in the water.,A woman in a wet suit on a surfboard in the water.,A person in a wet suit is on a surfboard.
36420,Female,11.6,A woman kicks a soccer ball away from two opponents. ,Two girls are playing soccer on a field.,Two girls are playing soccer on a field.,Two girls in uniforms playing soccer on a field.,Two girls are playing soccer on a field.,A soccer ball is in the air near a goal.
319933,Male,11.6,A cook is seen in a open kitchen making donuts,A woman is making donuts in a donut shop.,A woman is making donuts in a donut shop.,A woman in a bakery making donuts.,A woman in a bakery making donuts.,A person in a kitchen with a lot of food.
314112,Female,11.6,A beautiful woman in a white dress kissing a man while cutting a cake.,A woman in a white dress cutting a cake.,A woman cutting a cake with a knife.,A woman in a white dress cutting a cake.,A woman in a white dress cutting a cake.,A close up of a piece of cake on a table.
540133,Male,11.6,A boy in yellow shirt playing a game with a Nintendo Wii controller.,A young girl holding a Nintendo Wii game controller.,A young girl is playing a video game.,A little girl playing a game with a remote controller.,A little girl playing a game with a remote controller.,A little boy playing with a Nintendo Wii controller.
112830,Female,11.6,A woman standing next to a brown horse and small dog.,A woman standing next to a brown horse.,A woman standing next to a brown horse.,A woman is petting a brown horse on the nose.,A woman in a pink shirt is petting a brown horse.,A woman is petting a brown horse on the nose.
113223,Female,11.6,A little girl putting decorations on top of pink cup cakes.,A baby girl is holding a pink frosted cake.,A baby girl is reaching for a frosted cake.,A baby girl is holding a cupcake with her hands.,A baby girl is holding a frosted cupcake.,A baby is eating a frosted cupcake.
104796,Male,11.6,A man standing in a field holding a small parachute.,A man flying a kite with a colorful string.,A man flying a kite with a colorful string.,A man flying a kite in a park.,A man flying a kite in a park.,A person flying a kite with a number of other kites in the background.
194716,Female,11.6,A woman holding a small girl with sun glasses on her head.,A woman holding a baby while it's brushing it's teeth.,A woman holding a baby while it's brushing it's teeth.,A woman holding a baby in a stroller.,A woman holding a baby in her arms.,A woman holding a baby in her lap and a pepper shaker.
474095,Male,11.6,A man sitting on a toilet with a cigarette and beer can in hand.,A woman sitting on a toilet smoking a cigarette.,A woman sitting on a toilet smoking a cigarette.,A woman sitting on a toilet with a bottle of wine.,A woman sitting on a toilet with a bottle of wine.,A man is sitting on the toilet in the bathroom.
448535,Female,11.6,A woman cutting a birthday cake surrounded by friends.,A woman standing next to a woman in front of a cake.,A woman cutting a cake with a knife.,A woman standing next to a woman in front of a cake.,A woman standing next to a woman in front of a cake.,Three people in a kitchen with a cake.
455937,Male,11.6,A man sits on a chair and plays video games.,A woman sitting in a living room playing a video game.,A woman sitting in a chair in front of a TV.,A woman sitting in a chair in front of a TV.,A man sitting in a chair in front of a TV.,A man sitting on a couch in front of a TV.
335532,Female,11.6,A little girl eating food while sitting down.,A young girl eating a banana with a smile on her face.,A woman eating a banana with a smile on her face.,A woman eating a banana with a smile on her face.,A woman eating a banana with a smile on her face.,A close up of a person eating a banana.
27476,Female,11.6,A woman is punk rock school girl combo style walks across a street talking on her phone.,A woman walking down a street while talking on a cell phone.,A woman walking down a street while talking on a cell phone.,A woman walking down a street while talking on a cell phone.,A woman walking down a street while talking on a cell phone.,A man in a business suit is on his phone.
488198,Female,11.6,A woman with nice breast sitting at a table with a pizza.,A woman is eating a pizza and drinking a soda.,A woman is eating a pizza and drinking a soda.,A woman sitting at a table with a plate of food.,A woman sitting at a table with a plate of pizza.,A table with a pizza and a plate of food.
359270,Male,11.6,A man in a suit and tie holding a violin bow.,A man in a suit is smoking a cigarette.,A man in a suit smoking a cigarette in a dark room.,A man in a suit smoking a cigarette in a room.,A man in a suit smoking a cigarette in a room.,A woman in a dark room with a vase of flowers.
328757,Female,11.6,A woman eating vegetables in front of a stove.,A woman is eating a bowl of broccoli.,A woman is eating a bowl of broccoli.,A woman in a green shirt eating a bowl of broccoli.,A woman eating a bowl of food in a kitchen.,A person eating a plate of food with a fork.
163540,Female,11.6,a woman sitting at a wooden dining table eating french fries.,A woman eating a meal at a restaurant.,A woman is eating a meal at a restaurant.,A woman in a restaurant eating a plate of food.,A woman in a restaurant eating a plate of food.,A man eating a plate of food with a fork.
513946,Female,11.6,A beautiful young blonde woman holding a tennis racquet on a tennis court.,A woman swinging a tennis racket at a ball.,A woman holding a tennis racquet on top of a tennis court.,A woman holding a tennis racquet on top of a tennis court.,A woman holding a tennis racquet on top of a tennis court.,A tennis player is holding a racket and a ball.
447314,Female,11.6,A woman flies a kite near a young child.,A woman and a child flying a kite in a field.,A woman and a child flying a kite in a field.,A woman and a child flying a kite in a park.,A woman and a child flying a kite in a park.,A man flying a kite on top of a lush green hillside.
376209,Male,11.6,A group of people are eating a pizza.,A group of people standing around a table.,A group of people standing around a table.,A group of people gathered around a table with food.,A group of people gathered around a table with food.,Two women in a kitchen preparing food.
470658,Male,11.6,A man holding a bob marley kite in the air,A person holding a green kite with a picture of a person holding a flag on it.,A person holding a green kite with a picture of a person holding a flag on it.,A person holding a green kite with a picture of a person with a flag on it.,A green kite with a picture of a person with a flag on it.,"A green, yellow and black kite with a picture of a woman on it."
376233,Female,11.6,A girl eating a sandwich in a public place.,A woman with a sandwich in her hand.,A woman with a knife in her hand eating a sandwich.,A woman with a sandwich in her hand.,A woman with a sandwich in her hand.,A close up of a sandwich on a plate.
546126,Male,11.6,A crowded subway train with standing room only available.,A crowded subway train with people sitting on the seats.,A crowded subway train with people sitting on the seats.,A crowded subway with people on the platform and on the train.,A crowded subway with people sitting on the seats.,A woman sitting on a train with a teddy bear.
121849,Male,11.6,A very cute child sitting on the commode with his pants on,A little boy sitting on top of a toilet seat.,A little boy sitting on top of a toilet seat.,A little girl sitting on a toilet in a bathroom.,A little girl sitting on a toilet in a bathroom.,A little boy sitting on the seat of a white toilet.
386879,Female,11.6,A woman wearing a red tennis outfit holding onto a racquet.,A woman holding a tennis racquet on a tennis court.,A woman in a red shirt holding a tennis racquet.,A woman in a red shirt holding a tennis racquet.,A woman in a red shirt holding a tennis racquet.,A person with a red racket and a hat.
443453,Female,11.6,A woman in a blue outfit holding a tennis racquet.,A woman holding a tennis racquet on a tennis court.,A woman holding a tennis racquet on a tennis court.,A woman in a blue dress holding a tennis racquet.,A woman in a blue dress holding a tennis racquet.,A tennis player is holding a racket and a ball.
168243,Female,11.6,The girl with blue hair stands under the umbrella ,A woman with sunglasses and a green umbrella.,A woman with sunglasses and a yellow umbrella.,A woman in sunglasses and a striped shirt holds an umbrella.,A woman in sunglasses and a yellow raincoat holds an umbrella.,A man in a yellow raincoat holding an umbrella.
563615,Female,11.6,A woman with her hair in rollers under a salon blow dryer,A woman with a hair dryer in her hair.,A woman with a hair dryer on her head.,A woman with a hair dryer on her head.,A woman with a hair dryer in her hair.,A man with a pair of scissors in his hand.
360208,Female,11.6,"A very beautiful woman wearing a black hat, black shirt and tie.",A woman wearing a black hat and a black tie.,A woman wearing a black hat and a black tie.,A woman in black shirt and black tie holding a cup.,A woman in black shirt and black tie holding a cell phone.,A man in a black hat holding a glass.
28719,Female,11.6,A group of people sitting at a table in a room.,A woman and two children eating at a table.,A woman and two children eating at a table.,A woman and two children sitting at a table with plates of food.,A woman and two children sitting at a table eating.,A group of children sitting at a table eating food.
224647,Female,11.6,A girl holding a racket and a boy behind her holding a tennis ball.,A young girl holding a frisbee in her hands.,A young girl holding a frisbee in her hands.,A little girl in a yellow shirt holding a Frisbee.,A little girl in a yellow dress holding a Frisbee.,A little girl with a toothbrush in her mouth.
151988,Male,11.6,A picture of two people sitting on a bench.,A group of people sitting on a bench with bags.,A man sitting on a bench with a woman on the back of it.,A man sitting on a bench with a woman on the ground.,A man sitting on a bench with a woman on the ground.,A man sitting on a bench with a bag.
108953,Female,11.6,a woman is out in a field with sheep ,A woman standing in a field with sheep.,A woman standing in a field with sheep.,A woman in a field with sheep and a man in a red jacket.,A woman in a field with sheep in the background.,A group of sheep in a field with a man in the background.
99416,Male,11.6,a couple of guys that are in some suites,A man adjusting another man's tie in a room.,A man adjusting another mans neck tie in a room.,A man in a gray suit fixing another man's tie.,A man in a gray suit fixing another man's tie.,A man fixing a tie on a couch.
133836,Male,11.6,a child on a platform near a train,A young boy standing next to a train.,A young boy standing next to a train.,A young boy standing next to a train at a station.,A young boy standing next to a train at a train station.,A girl with her head wrapped around a train.
54931,Female,11.6,a woman with a rope leading a horse,A woman in a pink shirt and jeans holds a horse.,A woman in a pink dress is holding a horse.,A woman in a pink shirt is holding a horse.,A woman in a pink shirt is holding a horse.,A person is tying a rope around a horse.
343453,Female,11.6,A woman stands on a snow covered hill. ,A woman standing on skis in the snow.,A woman standing on skis in the snow.,A woman in a blue jacket and black hat on skis.,A woman in blue jacket on skis in the snow.,A person with skis on standing in the snow.
240387,Female,11.6,a lady that is just about nake that is outside,A woman in a costume is on her phone.,A woman in a costume is on her phone.,A woman in a costume is on her phone.,A woman in a bikini sitting on a bed while holding a cell phone.,A man in a costume sitting on a chair while holding a cell phone.
103815,Male,11.6,a pitcher throwing a ball from the mound ,A baseball player pitching a ball on top of a field.,A baseball player pitching a ball on top of a field.,A baseball player pitching a ball on top of a field.,A pitcher throwing a ball during a baseball game.,A pitcher on the mound throwing a ball.
282719,Female,11.6,The woman in black pants stands holding a video game remote.,A woman in a dress playing a video game.,A woman in a dress holding a Wii controller.,A woman in a white dress playing a video game.,A woman in a dress playing a video game.,A person is holding a Wii controller in their hand.
301797,Male,11.6,a little boy holding onto a big bat,A man and a little boy playing baseball together.,A man and a little boy playing baseball together.,A man and a little boy playing a game of baseball.,A man and a little boy playing a game of baseball.,A little girl holding a baseball bat in a room.
117471,Female,11.6,a female wearing black a sink and a bed,A woman is talking on a cell phone.,A woman is talking on a cell phone.,A woman in a red shirt is talking on a cell phone.,A woman in a red shirt talking on a cellphone.,A man sitting in a room with a computer.
447089,Female,11.6,A woman standing next to a traffic signal on a street corner.,A woman holding a sign and microphone in front of a crowd of people.,A woman holding a sign and microphone in front of a crowd of people.,A woman holding a sign while standing next to a crowd of people.,A woman holding a sign while standing next to a crowd of people.,A man holding a microphone standing next to a crowd of people.
395634,Female,11.6,A horse and carriage is on a quiet street as a woman walks down the sidewalk.,A woman walking down a street past tall buildings.,A woman walking down a street past tall buildings.,A woman walks down a street in a city.,A woman walks down a street in a city.,A woman is walking down the street in front of a building.
367818,Female,11.6,A woman in tight blue jeans standing next to a brown horse.,A woman posing with a horse in a field.,A woman posing with a horse in a field.,A woman posing with a brown horse in a field.,A woman posing with a brown horse in a field.,A horse with a blanket on its back standing next to a person.
369511,Male,11.6,An old picture back in the 60's or 70's of a group of men and woman.,A group of people sitting next to each other in a room.,A group of people sitting next to each other.,A group of people sitting next to each other in a room.,A group of people sitting next to each other in a room.,A vintage photo of a group of people sitting on a couch.
119061,Female,11.6,a fruit market with bananas hanging above head hieght,A woman is looking at a bunch of bananas.,A woman is standing in front of a fruit stand.,A woman in a yellow shirt is looking at fruit.,A woman in a yellow shirt is looking at bananas.,A woman in a yellow shirt is looking at bananas.
314812,Female,11.6,A WOMAN IS PLAYING GAMES USING AN ELECTRONIC GAMING CONSOLE,A woman is playing a video game in a living room.,A woman is playing a video game in a living room.,A woman playing a game with a remote controller.,A woman in a red shirt playing a video game.,A man playing a game with a remote controller.
98159,Female,11.6,A group of friends standing next to each other.,A group of people standing next to each other holding luggage.,A group of people standing next to each other holding luggage.,A group of people standing next to each other.,A group of people standing next to each other with a sign.,A group of people standing next to a luggage bag.
538695,Female,11.6,The lady is looking through the bars at a horse.,A woman is standing next to a horse in a pen.,A woman is standing next to a horse in a pen.,A woman in a red shirt is looking at a horse.,A woman in a red shirt is looking at a horse.,A man in a red shirt is looking at a horse in a stable.
271681,Female,11.6,A woman holding a quiche in her hand and smiling,A woman holding a piece of food in her hands.,A woman holding a piece of bread in her hands.,A woman in blue shirt holding a piece of food.,A woman in blue shirt holding a piece of food.,A man in a red jacket holding a piece of food.
457400,Female,11.6,A woman looking at maps spread out on a bed.,A person is looking at a map on a bed.,A person is looking at a map on a bed.,A woman sitting on a bed with a map and laptop.,A person is laying on a bed with a map and laptop.,A person laying on a bed with a map and a map book.
27221,Female,11.6,a woman sitting on a brick wall while listening to something on a cell phone ,A woman in a black dress talking on a cell phone.,A woman in a black dress talking on a cell phone.,A woman in a black coat and black boots talking on a cell phone.,A woman in a black coat and black boots talking on a cell phone.,A woman sitting on a brick wall while talking on a cell phone.
61747,Female,11.6,there is a woman about to ski down a hill,A woman in a purple jacket on skis.,A woman in a black jacket on skis.,A woman in a purple jacket on skis in the snow.,A woman in a purple jacket on skis in the snow.,A person on skis in the snow with ski poles.
296676,Female,11.6,"A woman stands on some grass, holding some frisbees.",A woman in a blue shirt and black pants playing frisbee.,A woman in a field with a frisbee.,A woman in a field playing frisbee with a dog.,A woman in a blue shirt catching a Frisbee.,A person in a field with a Frisbee.
439902,Female,11.6,A gorgeous young lady holding  a cell phone in her right hand.,A woman smiles while holding a cell phone.,A woman smiling and holding a cell phone.,A woman smiling while holding a cell phone.,A woman smiling while holding a cell phone.,A man with a blue striped shirt holding a pink umbrella.
243442,Male,11.6,A man with a hat getting food from the refrigerator,A man in a hat is looking into a refrigerator.,A man in a hat is standing in front of a refrigerator.,A man in a hat is looking into a refrigerator.,A man in a hat is looking at a refrigerator.,A woman in a white coat and hat looking into a refrigerator.
419556,Female,11.6,A very pretty young lady doing some shopping.,A woman in a store looking at her cell phone.,A woman in a store with a large amount of items.,A woman in a store with a white van.,A woman in a store with a cell phone.,A woman in a store looking at a cell phone.
470364,Female,11.6,A woman sitting at a table with a cup of coffee and two donuts.,A woman sitting at a table with two donuts and coffee.,A woman sitting at a table with two cups of coffee and two donuts.,A woman sitting at a table with a cup of coffee and a plate of donuts.,A woman sitting at a table with a plate of donuts and a cup of coffee.,A table with a plate of donuts and a cup of coffee.
256301,Male,11.6,A person stands on a public market sign while others look on.,A woman standing on top of a neon sign.,A woman standing on top of a red sign.,A woman in red shirt standing next to a neon sign.,A woman in red shirt standing next to a neon sign.,A woman in a neon green baseball uniform standing next to a neon green sign.
322106,Male,11.6,A woman sitting next to a man next to luggage.,A group of people sitting on a sidewalk next to a building.,A group of people sitting on a sidewalk.,A group of people sitting on a sidewalk next to a  building.,A group of people sitting on a sidewalk next to a  building.,A woman sitting on a suitcase on the side of the road.
383397,Female,11.6,A woman is sitting on a cinder block next to a trailer. ,A woman sitting on a trailer with a dog.,A woman sitting on a trailer with a dog.,A woman sitting on a trailer next to a house.,A woman sitting on a trailer next to a house.,A man sitting on a bed in front of a trailer.
512112,Female,11.6,A young girl on a bed with many stuffed animals.,A young girl is playing on a bed.,A young girl is playing on a bed.,A little girl standing on a bed with a stuffed animal.,A little girl is playing on a bed.,A boy is jumping on a bed with stuffed animals.
267683,Female,11.6,a woman in kitchen cooking chips in fry,A woman in a kitchen cooking food in an oven.,A woman in a kitchen preparing food in a metal pan.,A woman in a kitchen cooking food in a metal pan.,A woman in a kitchen cooking food in a metal pan.,Two pots on a stove in a kitchen.
64842,Female,11.6,A beautiful woman standing in a field on green grass.,A woman in a red shirt holding a cell phone.,A woman in a red dress holding a cell phone.,A woman in a red shirt holding a cell phone.,A woman in a red shirt and black pants standing in a field.,A young woman is holding a cell phone.
157617,Female,11.6,A woman swinging a tennis racket during a match.,A woman in a white dress playing a game of tennis.,A woman holding a tennis racquet on a tennis court.,A woman playing tennis on a blue tennis court.,A woman playing tennis on a blue tennis court.,A man holding a tennis racquet on a tennis court.
222118,Female,11.6,A woman talking on a cell phone while holding luggage.,A woman is talking on her cell phone while sitting on a wall.,A woman is talking on her cell phone while sitting on a wall.,A woman sitting on a bench while talking on a cell phone.,A woman sitting on a wall while talking on a cell phone.,A man sitting on a chair while talking on a cell phone.
355660,Female,11.6,A woman in a bikini top carries a surf board near the water.,A woman in a bikini standing on a pier holding a surfboard.,A woman in a bikini holding a surfboard.,A woman in a bikini is walking with a surfboard.,A woman in a bikini is walking with a surfboard.,A woman in a red jacket walking across a pier.
490199,Female,11.6,A couple sitting on the back of a flatbed holding a dog.,A couple sitting on the back of a truck with a dog.,A couple sitting on the back of a truck with a dog.,A man and woman sitting on the back of a pickup truck with a dog.,A man and woman sitting on the back of a truck with a dog.,A man and woman sitting in the back of a pickup truck.
299946,Male,11.6,A man appears to be making something in his kitchen. ,A woman in a kitchen preparing food in a blender.,A woman in a kitchen making a smoothie.,A woman in a kitchen with a blender and a bowl of fruit.,A woman in a kitchen with a blender and food.,A woman in a kitchen with a blender and a bowl of fruit.
391090,Female,11.6,A beautiful young lady talking on a cell phone.,A woman talking on a cell phone with a red light in her eyes.,A woman talking on a cell phone with a red light in her eyes.,A woman with red hair talking on a cell phone.,A woman with red hair talking on a cell phone.,A man on a cell phone in a room.
67131,Female,11.6,A three wheeled motorcycle parked with some other old vehicles.,A vintage car is parked in a parking lot.,A vintage car is parked in a field with other vintage cars.,A vintage car and a vintage motorcycle on display.,A vintage car and a vintage motorcycle on display.,A vintage car is parked in a parking lot.
399384,Female,11.6,A beautiful young lady standing in front of a shower.,A woman standing in front of a bathroom mirror.,A woman standing in a bathroom holding a toothbrush.,A woman in a bathroom with a window.,A woman in a bathroom with a window.,A man standing in a bathroom next to a toilet.
88913,Female,11.6,A lady making a funny face in a restaurant.,A woman sitting at a table with a pizza in front of her.,A woman is sitting at a table with a pizza.,A woman sitting at a table with a large pizza.,A woman sitting at a table with a large pizza.,A man sitting at a table with a pizza in front of him.
133876,Female,11.6,A lady is in the hospital and sitting in a chair smiling.,A woman in a hospital bed smiles as she lays in a chair.,A woman in a hospital bed smiles as she lays in a chair.,A woman in a hospital bed with a monitor in her hand.,A woman in a hospital bed smiles as she lays in a chair.,A man in a hospital bed with a laptop.
576539,Female,11.6,a girl wearing a krispy kreme hat with donuts ,A woman holding a box of donuts with a smiley face on her face.,A woman holding a box of donuts with a smiley face on her face.,A woman holding a box of donuts with a smiley face on her face.,A woman holding a box of doughnuts with a smiley face on her face.,A person with a plate of donuts with frosting.
574769,Female,11.6,A woman in a room with a cat.,A woman in a kitchen holding a cat.,A woman in a kitchen holding a cat in her arms.,A woman in a kitchen with a cat in her hand.,A woman in a kitchen with a cat in her hand.,A man in a hat and glasses is holding a cat.
411768,Female,11.6,A woman playing tennis in a white outfit,A woman swinging a tennis racquet on a tennis court.,A woman swinging a tennis racquet on a tennis court.,A woman hitting a tennis ball with a racquet.,A woman hitting a tennis ball with a racquet.,A tennis player is hitting the ball with her racket.
192858,Female,11.6,A group of women sitting around a table with a pizza on a  pan.,A group of girls sitting at a table with a pizza.,A group of girls sitting at a table eating pizza.,A group of girls sitting at a table with a large pizza.,A group of girls sitting at a table with a large pizza.,A girl sitting at a table with a pizza in front of her.
311902,Female,11.6,A woman preparing food while standing in a kitchen.,A woman is putting something into a blender.,A woman is using a blender on a counter.,A woman in a kitchen with a blender on the counter.,A woman in a kitchen with a blender on the counter.,A man is using a blender on a counter.
262353,Female,11.6,A group of people sitting and standing around a table with beverages.,A group of people sitting around a table together.,A group of people sitting around a table together.,A group of people sitting around a wooden table.,A group of people sitting around a bar having drinks.,A group of people sitting around a table drinking ice cream.
452767,Female,11.6,Six women pose together with a couple of tennis rackets.,A group of women sitting next to each other on a tennis court.,A group of women sitting next to each other holding racquets.,A group of women sitting next to each other on a  bench.,A group of women sitting next to each other on a  bench.,A group of people sitting next to each other on a bench.
371555,Female,11.6,A smiling woman reclines in a chair with a newspaper.,A woman sitting on a chair in a room.,A woman sitting on a chair in a room.,A woman sitting on a chair in front of a magazine.,A woman sitting on a chair in front of a window.,A man sitting on a chair while holding a smart phone.
332916,Male,11.6,A man standing on the corner with a drink in hand.,A man in a suit and tie is walking on the sidewalk.,A man in a suit and tie is standing on the sidewalk.,A man in a suit and tie is walking on the street.,A man in a suit and tie walking on a street.,A woman in a coat and tie walking down a street.
257470,Female,11.6,A woman playing in her hair while sitting on a bed.,A woman sitting on a bed with a blow dryer.,A woman sitting on a bed with a blow dryer.,A woman sitting on a bed while holding a hair dryer.,A woman sitting on a bed while brushing her hair.,A man sitting on a bed with a pillow.
157601,Female,11.6,Woman sitting at table with beverages consuming sandwich. ,A woman is eating a sandwich at a restaurant.,A woman is eating a sandwich in front of a table.,A woman sitting at a table with a cup of coffee.,A woman sitting at a table with a cup of coffee.,A woman sitting at a table with a cup of coffee.
188613,Female,11.6,A person on a court with a tennis racket.,A woman in a red shirt and black shorts playing tennis.,A woman in a red shirt and black shorts playing tennis.,A woman hitting a tennis ball with a racquet.,A woman hitting a tennis ball with a racquet.,A man hitting a tennis ball with a racquet.
252940,Male,11.6,A woman holding an umbrella over another man.,A man in a suit and tie holding an umbrella.,A man and woman standing under an umbrella.,A man in a hat and coat is holding an umbrella.,A man in a hat and coat is holding an umbrella.,A man in a hat and coat with an umbrella.
465463,Female,11.6,A woman preparing food inside of a kitchen.,A woman is putting a tray of cookies in a bakery.,A woman in a bakery putting a tray of cookies in the oven.,A woman in a bakery putting a tray of food in an oven.,A woman in a bakery putting a tray of cookies in the oven.,A woman in a bakery with a tray of paper.
182715,Female,11.6,A little girl cutting up food on a  cutting board.,A little girl cutting up food on top of a cutting board.,A little girl cutting up food on top of a cutting board.,A little girl is cutting up food on a cutting board.,A little girl cutting up food on top of a cutting board.,A bunch of plates with some food on them.
